,file,length,width,height,size
45,dataset/BraTS2021_Training_Data/BraTS2021_00066/BraTS2021_00066_seg.nii.gz,26,22,24,1
46,dataset/BraTS2021_Training_Data/BraTS2021_00068/BraTS2021_00068_seg.nii.gz,36,46,42,1
47,dataset/BraTS2021_Training_Data/BraTS2021_00070/BraTS2021_00070_seg.nii.gz,53,45,44,1
48,dataset/BraTS2021_Training_Data/BraTS2021_00071/BraTS2021_00071_seg.nii.gz,41,58,50,1
49,dataset/BraTS2021_Training_Data/BraTS2021_00072/BraTS2021_00072_seg.nii.gz,50,51,38,1
50,dataset/BraTS2021_Training_Data/BraTS2021_00074/BraTS2021_00074_seg.nii.gz,57,132,40,1
51,dataset/BraTS2021_Training_Data/BraTS2021_00077/BraTS2021_00077_seg.nii.gz,46,57,45,1
52,dataset/BraTS2021_Training_Data/BraTS2021_00078/BraTS2021_00078_seg.nii.gz,41,38,40,1
53,dataset/BraTS2021_Training_Data/BraTS2021_00081/BraTS2021_00081_seg.nii.gz,38,41,40,1
54,dataset/BraTS2021_Training_Data/BraTS2021_00084/BraTS2021_00084_seg.nii.gz,42,64,53,1
55,dataset/BraTS2021_Training_Data/BraTS2021_00085/BraTS2021_00085_seg.nii.gz,20,26,29,1
56,dataset/BraTS2021_Training_Data/BraTS2021_00087/BraTS2021_00087_seg.nii.gz,46,50,58,1
57,dataset/BraTS2021_Training_Data/BraTS2021_00088/BraTS2021_00088_seg.nii.gz,44,60,59,1
58,dataset/BraTS2021_Training_Data/BraTS2021_00089/BraTS2021_00089_seg.nii.gz,37,37,41,1
59,dataset/BraTS2021_Training_Data/BraTS2021_00090/BraTS2021_00090_seg.nii.gz,24,29,26,1
60,dataset/BraTS2021_Training_Data/BraTS2021_00094/BraTS2021_00094_seg.nii.gz,50,67,61,1
61,dataset/BraTS2021_Training_Data/BraTS2021_00095/BraTS2021_00095_seg.nii.gz,66,67,45,1
62,dataset/BraTS2021_Training_Data/BraTS2021_00096/BraTS2021_00096_seg.nii.gz,43,33,34,1
63,dataset/BraTS2021_Training_Data/BraTS2021_00097/BraTS2021_00097_seg.nii.gz,33,38,37,1
64,dataset/BraTS2021_Training_Data/BraTS2021_00098/BraTS2021_00098_seg.nii.gz,52,69,41,1
65,dataset/BraTS2021_Training_Data/BraTS2021_00099/BraTS2021_00099_seg.nii.gz,31,40,50,1
66,dataset/BraTS2021_Training_Data/BraTS2021_00100/BraTS2021_00100_seg.nii.gz,41,31,61,1
67,dataset/BraTS2021_Training_Data/BraTS2021_00101/BraTS2021_00101_seg.nii.gz,41,44,41,1
68,dataset/BraTS2021_Training_Data/BraTS2021_00102/BraTS2021_00102_seg.nii.gz,16,19,11,1
69,dataset/BraTS2021_Training_Data/BraTS2021_00103/BraTS2021_00103_seg.nii.gz,34,53,38,1
70,dataset/BraTS2021_Training_Data/BraTS2021_00104/BraTS2021_00104_seg.nii.gz,38,57,43,1
71,dataset/BraTS2021_Training_Data/BraTS2021_00105/BraTS2021_00105_seg.nii.gz,56,66,60,1
72,dataset/BraTS2021_Training_Data/BraTS2021_00106/BraTS2021_00106_seg.nii.gz,46,68,59,1
73,dataset/BraTS2021_Training_Data/BraTS2021_00107/BraTS2021_00107_seg.nii.gz,34,35,37,1
74,dataset/BraTS2021_Training_Data/BraTS2021_00108/BraTS2021_00108_seg.nii.gz,27,24,25,1
75,dataset/BraTS2021_Training_Data/BraTS2021_00109/BraTS2021_00109_seg.nii.gz,37,46,43,1
76,dataset/BraTS2021_Training_Data/BraTS2021_00110/BraTS2021_00110_seg.nii.gz,33,32,38,1
77,dataset/BraTS2021_Training_Data/BraTS2021_00111/BraTS2021_00111_seg.nii.gz,44,75,45,1
78,dataset/BraTS2021_Training_Data/BraTS2021_00112/BraTS2021_00112_seg.nii.gz,32,38,43,1
79,dataset/BraTS2021_Training_Data/BraTS2021_00113/BraTS2021_00113_seg.nii.gz,13,16,23,1
80,dataset/BraTS2021_Training_Data/BraTS2021_00115/BraTS2021_00115_seg.nii.gz,45,47,49,1
81,dataset/BraTS2021_Training_Data/BraTS2021_00116/BraTS2021_00116_seg.nii.gz,48,59,70,1
82,dataset/BraTS2021_Training_Data/BraTS2021_00117/BraTS2021_00117_seg.nii.gz,28,36,41,1
83,dataset/BraTS2021_Training_Data/BraTS2021_00118/BraTS2021_00118_seg.nii.gz,40,59,58,1
84,dataset/BraTS2021_Training_Data/BraTS2021_00120/BraTS2021_00120_seg.nii.gz,44,54,53,1
85,dataset/BraTS2021_Training_Data/BraTS2021_00121/BraTS2021_00121_seg.nii.gz,34,35,42,1
86,dataset/BraTS2021_Training_Data/BraTS2021_00122/BraTS2021_00122_seg.nii.gz,38,48,41,1
87,dataset/BraTS2021_Training_Data/BraTS2021_00123/BraTS2021_00123_seg.nii.gz,51,54,49,1
88,dataset/BraTS2021_Training_Data/BraTS2021_00124/BraTS2021_00124_seg.nii.gz,54,79,52,1
89,dataset/BraTS2021_Training_Data/BraTS2021_00126/BraTS2021_00126_seg.nii.gz,49,65,58,1
90,dataset/BraTS2021_Training_Data/BraTS2021_00127/BraTS2021_00127_seg.nii.gz,32,34,33,1
91,dataset/BraTS2021_Training_Data/BraTS2021_00128/BraTS2021_00128_seg.nii.gz,44,56,51,1
92,dataset/BraTS2021_Training_Data/BraTS2021_00130/BraTS2021_00130_seg.nii.gz,45,64,53,1
93,dataset/BraTS2021_Training_Data/BraTS2021_00131/BraTS2021_00131_seg.nii.gz,31,42,40,1
94,dataset/BraTS2021_Training_Data/BraTS2021_00132/BraTS2021_00132_seg.nii.gz,54,57,52,1
95,dataset/BraTS2021_Training_Data/BraTS2021_00133/BraTS2021_00133_seg.nii.gz,40,41,45,1
96,dataset/BraTS2021_Training_Data/BraTS2021_00134/BraTS2021_00134_seg.nii.gz,49,63,62,1
97,dataset/BraTS2021_Training_Data/BraTS2021_00136/BraTS2021_00136_seg.nii.gz,33,47,34,1
98,dataset/BraTS2021_Training_Data/BraTS2021_00137/BraTS2021_00137_seg.nii.gz,46,50,53,1
99,dataset/BraTS2021_Training_Data/BraTS2021_00138/BraTS2021_00138_seg.nii.gz,58,57,75,1
100,dataset/BraTS2021_Training_Data/BraTS2021_00139/BraTS2021_00139_seg.nii.gz,31,63,39,1
101,dataset/BraTS2021_Training_Data/BraTS2021_00140/BraTS2021_00140_seg.nii.gz,17,15,24,1
102,dataset/BraTS2021_Training_Data/BraTS2021_00142/BraTS2021_00142_seg.nii.gz,49,105,69,1
103,dataset/BraTS2021_Training_Data/BraTS2021_00143/BraTS2021_00143_seg.nii.gz,49,86,52,1
104,dataset/BraTS2021_Training_Data/BraTS2021_00144/BraTS2021_00144_seg.nii.gz,40,55,43,1
105,dataset/BraTS2021_Training_Data/BraTS2021_00146/BraTS2021_00146_seg.nii.gz,50,77,69,1
106,dataset/BraTS2021_Training_Data/BraTS2021_00147/BraTS2021_00147_seg.nii.gz,37,76,57,1
107,dataset/BraTS2021_Training_Data/BraTS2021_00148/BraTS2021_00148_seg.nii.gz,33,37,37,1
108,dataset/BraTS2021_Training_Data/BraTS2021_00149/BraTS2021_00149_seg.nii.gz,28,32,22,1
109,dataset/BraTS2021_Training_Data/BraTS2021_00150/BraTS2021_00150_seg.nii.gz,31,54,45,1
110,dataset/BraTS2021_Training_Data/BraTS2021_00151/BraTS2021_00151_seg.nii.gz,76,70,62,1
111,dataset/BraTS2021_Training_Data/BraTS2021_00152/BraTS2021_00152_seg.nii.gz,35,41,35,1
112,dataset/BraTS2021_Training_Data/BraTS2021_00154/BraTS2021_00154_seg.nii.gz,51,43,43,1
113,dataset/BraTS2021_Training_Data/BraTS2021_00155/BraTS2021_00155_seg.nii.gz,17,20,27,1
114,dataset/BraTS2021_Training_Data/BraTS2021_00156/BraTS2021_00156_seg.nii.gz,45,59,48,1
115,dataset/BraTS2021_Training_Data/BraTS2021_00157/BraTS2021_00157_seg.nii.gz,41,30,27,1
116,dataset/BraTS2021_Training_Data/BraTS2021_00158/BraTS2021_00158_seg.nii.gz,55,52,50,1
117,dataset/BraTS2021_Training_Data/BraTS2021_00159/BraTS2021_00159_seg.nii.gz,47,84,53,1
118,dataset/BraTS2021_Training_Data/BraTS2021_00160/BraTS2021_00160_seg.nii.gz,34,24,28,1
119,dataset/BraTS2021_Training_Data/BraTS2021_00162/BraTS2021_00162_seg.nii.gz,19,41,26,1
120,dataset/BraTS2021_Training_Data/BraTS2021_00165/BraTS2021_00165_seg.nii.gz,41,35,35,1
121,dataset/BraTS2021_Training_Data/BraTS2021_00166/BraTS2021_00166_seg.nii.gz,53,40,59,1
122,dataset/BraTS2021_Training_Data/BraTS2021_00167/BraTS2021_00167_seg.nii.gz,31,41,38,1
123,dataset/BraTS2021_Training_Data/BraTS2021_00170/BraTS2021_00170_seg.nii.gz,14,8,18,1
124,dataset/BraTS2021_Training_Data/BraTS2021_00171/BraTS2021_00171_seg.nii.gz,48,68,44,1
125,dataset/BraTS2021_Training_Data/BraTS2021_00172/BraTS2021_00172_seg.nii.gz,56,56,45,1
126,dataset/BraTS2021_Training_Data/BraTS2021_00176/BraTS2021_00176_seg.nii.gz,49,68,47,1
127,dataset/BraTS2021_Training_Data/BraTS2021_00177/BraTS2021_00177_seg.nii.gz,53,68,49,1
128,dataset/BraTS2021_Training_Data/BraTS2021_00178/BraTS2021_00178_seg.nii.gz,52,45,45,1
129,dataset/BraTS2021_Training_Data/BraTS2021_00183/BraTS2021_00183_seg.nii.gz,50,57,43,1
130,dataset/BraTS2021_Training_Data/BraTS2021_00184/BraTS2021_00184_seg.nii.gz,35,30,29,1
131,dataset/BraTS2021_Training_Data/BraTS2021_00185/BraTS2021_00185_seg.nii.gz,45,44,44,1
132,dataset/BraTS2021_Training_Data/BraTS2021_00186/BraTS2021_00186_seg.nii.gz,28,95,38,1
133,dataset/BraTS2021_Training_Data/BraTS2021_00187/BraTS2021_00187_seg.nii.gz,51,49,51,1
134,dataset/BraTS2021_Training_Data/BraTS2021_00188/BraTS2021_00188_seg.nii.gz,37,54,58,1
135,dataset/BraTS2021_Training_Data/BraTS2021_00191/BraTS2021_00191_seg.nii.gz,59,78,57,1
136,dataset/BraTS2021_Training_Data/BraTS2021_00192/BraTS2021_00192_seg.nii.gz,31,46,32,1
137,dataset/BraTS2021_Training_Data/BraTS2021_00193/BraTS2021_00193_seg.nii.gz,30,41,51,1
138,dataset/BraTS2021_Training_Data/BraTS2021_00194/BraTS2021_00194_seg.nii.gz,34,68,39,1
139,dataset/BraTS2021_Training_Data/BraTS2021_00195/BraTS2021_00195_seg.nii.gz,21,20,23,1
140,dataset/BraTS2021_Training_Data/BraTS2021_00196/BraTS2021_00196_seg.nii.gz,52,32,42,1
141,dataset/BraTS2021_Training_Data/BraTS2021_00199/BraTS2021_00199_seg.nii.gz,35,69,50,1
142,dataset/BraTS2021_Training_Data/BraTS2021_00201/BraTS2021_00201_seg.nii.gz,51,61,58,1
143,dataset/BraTS2021_Training_Data/BraTS2021_00203/BraTS2021_00203_seg.nii.gz,38,67,52,1
144,dataset/BraTS2021_Training_Data/BraTS2021_00204/BraTS2021_00204_seg.nii.gz,32,29,56,1
145,dataset/BraTS2021_Training_Data/BraTS2021_00206/BraTS2021_00206_seg.nii.gz,22,27,35,1
146,dataset/BraTS2021_Training_Data/BraTS2021_00207/BraTS2021_00207_seg.nii.gz,49,74,77,1
147,dataset/BraTS2021_Training_Data/BraTS2021_00209/BraTS2021_00209_seg.nii.gz,57,51,37,1
148,dataset/BraTS2021_Training_Data/BraTS2021_00210/BraTS2021_00210_seg.nii.gz,41,58,37,1
149,dataset/BraTS2021_Training_Data/BraTS2021_00211/BraTS2021_00211_seg.nii.gz,41,57,51,1
150,dataset/BraTS2021_Training_Data/BraTS2021_00212/BraTS2021_00212_seg.nii.gz,24,14,14,1
151,dataset/BraTS2021_Training_Data/BraTS2021_00214/BraTS2021_00214_seg.nii.gz,47,59,60,1
152,dataset/BraTS2021_Training_Data/BraTS2021_00216/BraTS2021_00216_seg.nii.gz,55,51,42,1
153,dataset/BraTS2021_Training_Data/BraTS2021_00217/BraTS2021_00217_seg.nii.gz,28,32,36,1
154,dataset/BraTS2021_Training_Data/BraTS2021_00218/BraTS2021_00218_seg.nii.gz,10,16,17,1
155,dataset/BraTS2021_Training_Data/BraTS2021_00219/BraTS2021_00219_seg.nii.gz,23,19,34,1
156,dataset/BraTS2021_Training_Data/BraTS2021_00220/BraTS2021_00220_seg.nii.gz,36,40,49,1
157,dataset/BraTS2021_Training_Data/BraTS2021_00221/BraTS2021_00221_seg.nii.gz,27,34,39,1
158,dataset/BraTS2021_Training_Data/BraTS2021_00222/BraTS2021_00222_seg.nii.gz,21,26,30,1
159,dataset/BraTS2021_Training_Data/BraTS2021_00227/BraTS2021_00227_seg.nii.gz,20,22,19,1
160,dataset/BraTS2021_Training_Data/BraTS2021_00228/BraTS2021_00228_seg.nii.gz,34,34,34,1
161,dataset/BraTS2021_Training_Data/BraTS2021_00230/BraTS2021_00230_seg.nii.gz,41,45,46,1
162,dataset/BraTS2021_Training_Data/BraTS2021_00231/BraTS2021_00231_seg.nii.gz,42,38,42,1
163,dataset/BraTS2021_Training_Data/BraTS2021_00233/BraTS2021_00233_seg.nii.gz,32,46,39,1
164,dataset/BraTS2021_Training_Data/BraTS2021_00234/BraTS2021_00234_seg.nii.gz,56,81,50,1
165,dataset/BraTS2021_Training_Data/BraTS2021_00235/BraTS2021_00235_seg.nii.gz,37,48,47,1
166,dataset/BraTS2021_Training_Data/BraTS2021_00236/BraTS2021_00236_seg.nii.gz,72,63,49,1
167,dataset/BraTS2021_Training_Data/BraTS2021_00237/BraTS2021_00237_seg.nii.gz,34,42,36,1
168,dataset/BraTS2021_Training_Data/BraTS2021_00238/BraTS2021_00238_seg.nii.gz,49,34,53,1
169,dataset/BraTS2021_Training_Data/BraTS2021_00239/BraTS2021_00239_seg.nii.gz,47,53,39,1
170,dataset/BraTS2021_Training_Data/BraTS2021_00240/BraTS2021_00240_seg.nii.gz,45,48,41,1
171,dataset/BraTS2021_Training_Data/BraTS2021_00241/BraTS2021_00241_seg.nii.gz,32,27,23,1
172,dataset/BraTS2021_Training_Data/BraTS2021_00242/BraTS2021_00242_seg.nii.gz,42,56,51,1
173,dataset/BraTS2021_Training_Data/BraTS2021_00243/BraTS2021_00243_seg.nii.gz,35,44,23,1
174,dataset/BraTS2021_Training_Data/BraTS2021_00246/BraTS2021_00246_seg.nii.gz,45,36,26,1
175,dataset/BraTS2021_Training_Data/BraTS2021_00247/BraTS2021_00247_seg.nii.gz,47,59,58,1
176,dataset/BraTS2021_Training_Data/BraTS2021_00249/BraTS2021_00249_seg.nii.gz,50,62,56,1
177,dataset/BraTS2021_Training_Data/BraTS2021_00250/BraTS2021_00250_seg.nii.gz,51,35,33,1
178,dataset/BraTS2021_Training_Data/BraTS2021_00251/BraTS2021_00251_seg.nii.gz,21,27,21,1
179,dataset/BraTS2021_Training_Data/BraTS2021_00253/BraTS2021_00253_seg.nii.gz,17,22,19,1
180,dataset/BraTS2021_Training_Data/BraTS2021_00254/BraTS2021_00254_seg.nii.gz,40,69,44,1
181,dataset/BraTS2021_Training_Data/BraTS2021_00258/BraTS2021_00258_seg.nii.gz,20,35,33,1
182,dataset/BraTS2021_Training_Data/BraTS2021_00259/BraTS2021_00259_seg.nii.gz,32,41,39,1
183,dataset/BraTS2021_Training_Data/BraTS2021_00260/BraTS2021_00260_seg.nii.gz,31,35,36,1
184,dataset/BraTS2021_Training_Data/BraTS2021_00261/BraTS2021_00261_seg.nii.gz,47,52,45,1
185,dataset/BraTS2021_Training_Data/BraTS2021_00262/BraTS2021_00262_seg.nii.gz,13,15,19,1
186,dataset/BraTS2021_Training_Data/BraTS2021_00263/BraTS2021_00263_seg.nii.gz,44,42,44,1
187,dataset/BraTS2021_Training_Data/BraTS2021_00266/BraTS2021_00266_seg.nii.gz,57,62,58,1
188,dataset/BraTS2021_Training_Data/BraTS2021_00267/BraTS2021_00267_seg.nii.gz,44,44,55,1
189,dataset/BraTS2021_Training_Data/BraTS2021_00269/BraTS2021_00269_seg.nii.gz,35,49,46,1
190,dataset/BraTS2021_Training_Data/BraTS2021_00270/BraTS2021_00270_seg.nii.gz,20,19,27,1
191,dataset/BraTS2021_Training_Data/BraTS2021_00271/BraTS2021_00271_seg.nii.gz,33,61,52,1
192,dataset/BraTS2021_Training_Data/BraTS2021_00273/BraTS2021_00273_seg.nii.gz,41,57,49,1
193,dataset/BraTS2021_Training_Data/BraTS2021_00274/BraTS2021_00274_seg.nii.gz,31,41,37,1
194,dataset/BraTS2021_Training_Data/BraTS2021_00275/BraTS2021_00275_seg.nii.gz,38,55,51,1
195,dataset/BraTS2021_Training_Data/BraTS2021_00280/BraTS2021_00280_seg.nii.gz,28,34,31,1
196,dataset/BraTS2021_Training_Data/BraTS2021_00281/BraTS2021_00281_seg.nii.gz,32,39,37,1
197,dataset/BraTS2021_Training_Data/BraTS2021_00282/BraTS2021_00282_seg.nii.gz,27,33,29,1
198,dataset/BraTS2021_Training_Data/BraTS2021_00283/BraTS2021_00283_seg.nii.gz,86,42,41,1
199,dataset/BraTS2021_Training_Data/BraTS2021_00284/BraTS2021_00284_seg.nii.gz,51,23,35,1
200,dataset/BraTS2021_Training_Data/BraTS2021_00285/BraTS2021_00285_seg.nii.gz,16,22,21,1
201,dataset/BraTS2021_Training_Data/BraTS2021_00286/BraTS2021_00286_seg.nii.gz,45,32,59,1
202,dataset/BraTS2021_Training_Data/BraTS2021_00288/BraTS2021_00288_seg.nii.gz,19,25,27,1
203,dataset/BraTS2021_Training_Data/BraTS2021_00289/BraTS2021_00289_seg.nii.gz,30,63,30,1
204,dataset/BraTS2021_Training_Data/BraTS2021_00290/BraTS2021_00290_seg.nii.gz,46,43,41,1
205,dataset/BraTS2021_Training_Data/BraTS2021_00291/BraTS2021_00291_seg.nii.gz,61,52,73,1
206,dataset/BraTS2021_Training_Data/BraTS2021_00292/BraTS2021_00292_seg.nii.gz,39,43,25,1
207,dataset/BraTS2021_Training_Data/BraTS2021_00293/BraTS2021_00293_seg.nii.gz,23,28,24,1
208,dataset/BraTS2021_Training_Data/BraTS2021_00294/BraTS2021_00294_seg.nii.gz,32,36,53,1
209,dataset/BraTS2021_Training_Data/BraTS2021_00296/BraTS2021_00296_seg.nii.gz,56,45,21,1
210,dataset/BraTS2021_Training_Data/BraTS2021_00297/BraTS2021_00297_seg.nii.gz,40,53,49,1
211,dataset/BraTS2021_Training_Data/BraTS2021_00298/BraTS2021_00298_seg.nii.gz,37,29,36,1
212,dataset/BraTS2021_Training_Data/BraTS2021_00299/BraTS2021_00299_seg.nii.gz,27,39,42,1
213,dataset/BraTS2021_Training_Data/BraTS2021_00300/BraTS2021_00300_seg.nii.gz,57,58,51,1
214,dataset/BraTS2021_Training_Data/BraTS2021_00301/BraTS2021_00301_seg.nii.gz,46,46,45,1
215,dataset/BraTS2021_Training_Data/BraTS2021_00303/BraTS2021_00303_seg.nii.gz,43,43,42,1
216,dataset/BraTS2021_Training_Data/BraTS2021_00304/BraTS2021_00304_seg.nii.gz,42,78,50,1
217,dataset/BraTS2021_Training_Data/BraTS2021_00305/BraTS2021_00305_seg.nii.gz,24,22,22,1
218,dataset/BraTS2021_Training_Data/BraTS2021_00306/BraTS2021_00306_seg.nii.gz,43,55,41,1
219,dataset/BraTS2021_Training_Data/BraTS2021_00309/BraTS2021_00309_seg.nii.gz,28,19,24,1
220,dataset/BraTS2021_Training_Data/BraTS2021_00310/BraTS2021_00310_seg.nii.gz,52,66,60,1
221,dataset/BraTS2021_Training_Data/BraTS2021_00311/BraTS2021_00311_seg.nii.gz,33,23,27,1
222,dataset/BraTS2021_Training_Data/BraTS2021_00312/BraTS2021_00312_seg.nii.gz,31,56,33,1
223,dataset/BraTS2021_Training_Data/BraTS2021_00313/BraTS2021_00313_seg.nii.gz,22,25,28,1
224,dataset/BraTS2021_Training_Data/BraTS2021_00314/BraTS2021_00314_seg.nii.gz,44,51,25,1
225,dataset/BraTS2021_Training_Data/BraTS2021_00316/BraTS2021_00316_seg.nii.gz,36,32,30,1
226,dataset/BraTS2021_Training_Data/BraTS2021_00317/BraTS2021_00317_seg.nii.gz,31,24,44,1
227,dataset/BraTS2021_Training_Data/BraTS2021_00318/BraTS2021_00318_seg.nii.gz,53,61,40,1
228,dataset/BraTS2021_Training_Data/BraTS2021_00320/BraTS2021_00320_seg.nii.gz,21,41,28,1
229,dataset/BraTS2021_Training_Data/BraTS2021_00321/BraTS2021_00321_seg.nii.gz,6,7,7,1
230,dataset/BraTS2021_Training_Data/BraTS2021_00322/BraTS2021_00322_seg.nii.gz,90,62,60,1
231,dataset/BraTS2021_Training_Data/BraTS2021_00324/BraTS2021_00324_seg.nii.gz,26,27,25,1
232,dataset/BraTS2021_Training_Data/BraTS2021_00325/BraTS2021_00325_seg.nii.gz,67,66,48,1
233,dataset/BraTS2021_Training_Data/BraTS2021_00327/BraTS2021_00327_seg.nii.gz,34,44,39,1
234,dataset/BraTS2021_Training_Data/BraTS2021_00328/BraTS2021_00328_seg.nii.gz,40,55,31,1
235,dataset/BraTS2021_Training_Data/BraTS2021_00329/BraTS2021_00329_seg.nii.gz,23,27,27,1
236,dataset/BraTS2021_Training_Data/BraTS2021_00331/BraTS2021_00331_seg.nii.gz,14,20,7,1
237,dataset/BraTS2021_Training_Data/BraTS2021_00332/BraTS2021_00332_seg.nii.gz,26,31,26,1
238,dataset/BraTS2021_Training_Data/BraTS2021_00334/BraTS2021_00334_seg.nii.gz,44,48,45,1
239,dataset/BraTS2021_Training_Data/BraTS2021_00336/BraTS2021_00336_seg.nii.gz,40,43,36,1
240,dataset/BraTS2021_Training_Data/BraTS2021_00338/BraTS2021_00338_seg.nii.gz,33,38,20,1
241,dataset/BraTS2021_Training_Data/BraTS2021_00339/BraTS2021_00339_seg.nii.gz,22,26,24,1
242,dataset/BraTS2021_Training_Data/BraTS2021_00340/BraTS2021_00340_seg.nii.gz,40,42,36,1
243,dataset/BraTS2021_Training_Data/BraTS2021_00341/BraTS2021_00341_seg.nii.gz,25,36,31,1
244,dataset/BraTS2021_Training_Data/BraTS2021_00343/BraTS2021_00343_seg.nii.gz,24,25,24,1
245,dataset/BraTS2021_Training_Data/BraTS2021_00344/BraTS2021_00344_seg.nii.gz,33,63,27,1
246,dataset/BraTS2021_Training_Data/BraTS2021_00346/BraTS2021_00346_seg.nii.gz,16,15,16,1
247,dataset/BraTS2021_Training_Data/BraTS2021_00347/BraTS2021_00347_seg.nii.gz,40,70,49,1
248,dataset/BraTS2021_Training_Data/BraTS2021_00348/BraTS2021_00348_seg.nii.gz,14,13,12,1
